# time,theta_1,theta_2,omega_1,omega_2
1.349349349349349403e+01,2.291126420520582130e+01,1.831729066015896024e+01,1.650854786218865797e+02,-1.459510211587373192e+02
1.353353353353353405e+01,2.931025345773010926e+01,1.254293223351490916e+01,1.537158864921661916e+02,-1.421386591844745908e+02
1.357357357357357408e+01,3.513100382202531335e+01,6.979455436321723383e+00,1.365770462532220790e+02,-1.356382774151006458e+02
1.361361361361361411e+01,4.021642882124414342e+01,1.689165190354123602e+00,1.167355004467373618e+02,-1.282918322803989497e+02
1.365365365365365413e+01,4.449005731621629423e+01,-3.311401951580635661e+00,9.639065623144568917e+01,-1.213697689495628822e+02
1.369369369369369416e+01,4.795506396433587071e+01,-8.050852449375106801e+00,7.687135182808019351e+01,-1.155707271109115482e+02
1.373373373373373418e+01,5.065781494960778986e+01,-1.258068934050405296e+01,5.823562187606930962e+01,-1.108500485936085482e+02
1.377377377377377421e+01,5.262771803051821706e+01,-1.693925660265714228e+01,4.026263029447209618e+01,-1.069782877869191253e+02
1.381381381381381424e+01,5.388965243586109466e+01,-2.115660513442951540e+01,2.287245214986404918e+01,-1.037692162074196318e+02
1.385385385385385426e+01,5.446589902976886322e+01,-2.525509033286067151e+01,5.999536095555598081e+00,-1.010183252031069401e+02
1.389389389389389429e+01,5.437577119731358977e+01,-2.925067670153880783e+01,-1.042941415345021916e+01,-9.851353582691959332e+01
1.393393393393393431e+01,5.363704617530268592e+01,-3.315028601922104912e+01,-2.642958995591807891e+01,-9.606359058739026580e+01
1.397397397397397434e+01,5.227183614147678981e+01,-3.694681445578637380e+01,-4.184869046556588756e+01,-9.347124330076276522e+01
1.401401401401401436e+01,5.030593742769252685e+01,-4.062928387436374322e+01,-5.654680625649658765e+01,-9.056692078728943329e+01
1.405405405405405439e+01,4.776871295368216153e+01,-4.418340759142840568e+01,-7.040652125129045658e+01,-8.721140224003623587e+01
1.409409409409409442e+01,4.469309222705365414e+01,-4.759159037680184667e+01,-8.333291272100511549e+01,-8.329581922488273449e+01
1.413413413413413444e+01,4.111557134329063246e+01,-5.083292845365187418e+01,-9.525355128517550440e+01,-7.874165568052210062e+01
1.417417417417417447e+01,3.707621298575237745e+01,-5.388320949849254049e+01,-1.061185009118139675e+02,-7.350074791846097355e+01
1.421421421421421449e+01,3.261864642567387307e+01,-5.671491264118417064e+01,-1.159003189174100896e+02,-6.755528462301971615e+01
1.425425425425425452e+01,2.779006752216576359e+01,-5.929720846493336239e+01,-1.245940559669308811e+02,-6.091780685133225859e+01
1.429429429429429455e+01,2.264134754882688227e+01,-6.159630380886260781e+01,-1.322135556160331760e+02,-5.363187164729271927e+01
1.433433433433433457e+01,1.722398954028108875e+01,-6.359220747258045492e+01,-1.386894597978268848e+02,-4.579211472251687098e+01
1.437437437437437460e+01,1.156787774495919230e+01,-6.526453359271458510e+01,-1.441774924066593826e+02,-3.748462500877942460e+01
1.441441441441441462e+01,5.698244613339594089e+00,-6.659255727345346543e+01,-1.488850206460899983e+02,-2.880304963698583975e+01
1.445445445445445465e+01,-3.579086563263167431e-01,-6.756316948460323601e+01,-1.529476230322499362e+02,-1.986870690692767027e+01
1.449449449449449467e+01,-6.571812118014176640e+00,-6.817087706158756077e+01,-1.564290893938423608e+02,-1.083058628728263706e+01
1.453453453453453470e+01,-1.291292707792664984e+01,-6.841780270544775533e+01,-1.593214208721423688e+02,-1.865348415614581645e+00
1.457457457457457473e+01,-1.934894609449341729e+01,-6.831368498284271595e+01,-1.615448299209970457e+02,6.822674901626513133e+00
1.461461461461461475e+01,-2.584579297837115419e+01,-6.787587832604894800e+01,-1.629477403068252670e+02,1.500148068910449339e+01
1.465465465465465478e+01,-3.236762279244356932e+01,-6.712935303296055167e+01,-1.633067871086179821e+02,2.241139480259710481e+01
1.469469469469469480e+01,-3.887682185182141126e+01,-6.610669526708923627e+01,-1.623268167179379873e+02,2.876507192899594401e+01
1.473473473473473483e+01,-4.532703757503954733e+01,-6.485077523878914008e+01,-1.595513686077344460e+02,3.370426843620486324e+01
1.477477477477477485e+01,-5.162142636275813601e+01,-6.343066642886960693e+01,-1.544176773359293975e+02,3.692405471410793893e+01
1.481481481481481488e+01,-5.766036450041840311e+01,-6.191598570066415164e+01,-1.470106620942684685e+02,3.856205639743663482e+01
1.485485485485485491e+01,-6.335965046004946544e+01,-6.036452812582083993e+01,-1.375764286004713313e+02,3.884591598060762152e+01
1.489489489489489493e+01,-6.864946855770804746e+01,-5.882250071014944837e+01,-1.264735147407102147e+02,3.806393683564560604e+01
1.493493493493493496e+01,-7.347438895347842447e+01,-5.732452239362146429e+01,-1.141728905696097627e+02,3.656508321218333180e+01
1.497497497497497498e+01,-7.779336765147247945e+01,-5.589362405037012849e+01,-1.012579583102471332e+02,3.475898023746162835e+01
1.501501501501501501e+01,-8.158747193134128395e+01,-5.453729387323283362e+01,-8.831210919310905183e+01,3.305599017293556585e+01
1.505505505505505504e+01,-8.486643286342697934e+01,-5.324386249855858466e+01,-7.553275186042132816e+01,3.161648221823457305e+01
1.509509509509509506e+01,-8.763985180145650133e+01,-5.200053170502630451e+01,-6.299244847012016635e+01,3.049474110305352070e+01
1.513513513513513509e+01,-8.991714165786908097e+01,-5.079496304702023934e+01,-5.072415342391215631e+01,2.971009967971804500e+01
1.517517517517517511e+01,-9.170759017258124857e+01,-4.961525065851434846e+01,-3.872087121689410338e+01,2.924688605944720265e+01
1.521521521521521514e+01,-9.302035991298683371e+01,-4.844992125307223318e+01,-2.693565643755292882e+01,2.905442361235346027e+01
1.525525525525525516e+01,-9.386441261692290539e+01,-4.728801626689165261e+01,-1.528253133172933076e+01,2.904791022823287605e+01
1.529529529529529519e+01,-9.424393481748062129e+01,-4.612365805829200127e+01,-3.691713268252658331e+00,2.915308224807835202e+01
1.533533533533533522e+01,-9.415907579773364944e+01,-4.495493713528446023e+01,7.890066125142933373e+00,2.928954046763176677e+01
