# time,theta,x,omega,v
1.369369369369369416e+01,-9.246525969248516219e+00,3.873406903390539924e+01,-6.429504638385320270e+00,-3.781861599430295318e+00
1.373373373373373418e+01,-9.503299622629468146e+00,3.857580019849026343e+01,-6.391850271091833235e+00,-4.146368519451570478e+00
1.377377377377377421e+01,-9.758606724676914368e+00,3.840294245875920609e+01,-6.355928981386835375e+00,-4.508142465762865925e+00
1.381381381381381424e+01,-1.001251139039917248e+01,3.821559837800600690e+01,-6.321699147480847714e+00,-4.866893151412149621e+00
1.385385385385385426e+01,-1.026507561841196825e+01,3.801388357672160367e+01,-6.289114557114231729e+00,-5.222334316640688812e+00
1.389389389389389429e+01,-1.051635929093843913e+01,3.779792673259412794e+01,-6.258124407557185798e+00,-5.574183728883042477e+00
1.393393393393393431e+01,-1.076642017380910943e+01,3.756786958050886227e+01,-6.228673305609751409e+00,-5.922163182767075540e+00
1.397397397397397434e+01,-1.101531391646192759e+01,3.732386691254827582e+01,-6.200701267601808730e+00,-6.265998500113944658e+00
1.401401401401401436e+01,-1.126309405194222713e+01,3.706608657799198880e+01,-6.174143719393073049e+00,-6.605419529938107104e+00
1.405405405405405439e+01,-1.150981199690276036e+01,3.679470948331681512e+01,-6.148931496373105432e+00,-6.940160148447317212e+00
1.409409409409409442e+01,-1.175551705160367177e+01,3.650992959219672684e+01,-6.124990843461302958e+00,-7.269958259042629045e+00
1.413413413413413444e+01,-1.200025639991251580e+01,3.621195392550286840e+01,-6.102243415106902269e+00,-7.594555792318391063e+00
1.417417417417417447e+01,-1.224407510930425147e+01,3.590100256130356371e+01,-6.080606275288979568e+00,-7.913698706062254118e+00
1.421421421421421449e+01,-1.248701613086124063e+01,3.557730863486430195e+01,-6.059991897516452397e+00,-8.227136985255162571e+00
1.425425425425425452e+01,-1.272912029927324795e+01,3.524111833864774468e+01,-6.040308164828076976e+00,-8.534624642071364065e+00
1.429429429429429455e+01,-1.297042633283744273e+01,3.489269092231371872e+01,-6.021458369792446419e+00,-8.835919715878397085e+00
1.433433433433433457e+01,-1.321097083345839529e+01,3.453229869271923036e+01,-6.003341214507996071e+00,-9.130784273237106063e+00
1.437437437437437460e+01,-1.345078828664808412e+01,3.416022701391845828e+01,-5.985850810603001726e+00,-9.418984407901627165e+00
1.441441441441441462e+01,-1.368991106152589232e+01,3.377677430716273932e+01,-5.968876679235574301e+00,-9.700290240819395393e+00
1.445445445445445465e+01,-1.392836941081860047e+01,3.338225205090060399e+01,-5.952303751093668716e+00,-9.974475920131148143e+00
1.449449449449449467e+01,-1.416619147086039909e+01,3.297698478077773387e+01,-5.936012366395079454e+00,-1.024131962117091454e+01
1.453453453453453470e+01,-1.440340326159288153e+01,3.256131008963699713e+01,-5.919878274887434344e+00,-1.050060354646602612e+01
1.457457457457457473e+01,-1.464002868656504042e+01,3.213557862751841299e+01,-5.903772635848209660e+00,-1.075211392573711144e+01
1.461461461461461475e+01,-1.487605424393938591e+01,3.170012380241730199e+01,-5.887519963699059389e+00,-1.099565527992081471e+01
1.465465465465465478e+01,-1.511127655722661167e+01,3.125509513969314668e+01,-5.870780187569866193e+00,-1.123112211066265331e+01
1.469469469469469480e+01,-1.534572287135453195e+01,3.080079699700681317e+01,-5.853583293018706613e+00,-1.145833515229930910e+01
1.473473473473473483e+01,-1.557945506559079796e+01,3.033757670732886425e+01,-5.835989208694807751e+00,-1.167710464305726603e+01
1.477477477477477485e+01,-1.581251822371233828e+01,2.986578533435646321e+01,-5.818017448234394706e+00,-1.188724972668884838e+01
1.481481481481481488e+01,-1.604494063400537129e+01,2.938577767251336681e+01,-5.799647110260684357e+00,-1.208859845247222786e+01
1.485485485485485491e+01,-1.627673378926539272e+01,2.889791224694993943e+01,-5.780816878383896018e+00,-1.228098777521142182e+01
1.489489489489489493e+01,-1.650789238679718451e+01,2.840255131354314599e+01,-5.761425021201244334e+00,-1.246426355523628970e+01
1.493493493493493496e+01,-1.673839432841480601e+01,2.790006085889654841e+01,-5.741329392296939282e+00,-1.263828055840253484e+01
1.497497497497497498e+01,-1.696820072044160810e+01,2.739081060034031623e+01,-5.720347430242188835e+00,-1.280290245609170263e+01
1.501501501501501501e+01,-1.719725587371021902e+01,2.687517398593121598e+01,-5.698256158595199850e+00,-1.295800182521118771e+01
1.505505505505505504e+01,-1.742548730356255149e+01,2.635352819445261474e+01,-5.674792185901172736e+00,-1.310346014819422678e+01
1.509509509509509506e+01,-1.765280572984979557e+01,2.582625413541448012e+01,-5.649651705692308568e+00,-1.323916781299989687e+01
1.513513513513513509e+01,-1.787910507693243645e+01,2.529373644905338736e+01,-5.622490496487801970e+00,-1.336502411311312244e+01
1.517517517517517511e+01,-1.810426247368022956e+01,2.475636350633250515e+01,-5.592923921793845565e+00,-1.348093724754467360e+01
1.521521521521521514e+01,-1.832813825347221837e+01,2.421452740894160627e+01,-5.560526930103630860e+00,-1.358682432083116254e+01
1.525525525525525516e+01,-1.855057595419672722e+01,2.366862398929706757e+01,-5.524834054897344693e+00,-1.368261134303504534e+01
1.529529529529529519e+01,-1.877140231825137562e+01,2.311905281054185934e+01,-5.485339414642171896e+00,-1.376823322974461838e+01
