# time,x1,x2,y1,y2,z1,z2,vx1,vx2,vy1,vy2,vz1,vz2
2.130213021302130194e+00,-3.918201459868702052e-01,3.914492119984196439e-01,6.699107581639597575e-02,4.830170308175743554e-02,-3.951957524871058669e-01,-5.820894798334912412e-01,4.669918982229591675e-01,-5.596567644947285647e-01,4.528552168152742696e-02,5.762140167022112951e-03,-4.714478318472619528e-02,-4.423785983297791602e-01
2.132213221322132313e+00,-3.908832754782440300e-01,3.903263724880987606e-01,6.708158361482198517e-02,4.831331688490356213e-02,-3.952907745128468875e-01,-5.829734418120310346e-01,4.696965105066794877e-01,-5.629624017303868078e-01,4.522069253413812939e-02,5.841375791609037214e-03,-4.779307465861921261e-02,-4.415862420839099522e-01
2.134213421342134431e+00,-3.899409821197798998e-01,3.891969050501981053e-01,6.717196095234649611e-02,4.832509014026260818e-02,-3.953871011476027264e-01,-5.838558092684416057e-01,4.724124047053298581e-01,-5.662818279731816062e-01,4.515514548061341088e-02,5.921488857028134149e-03,-4.844854519386636998e-02,-4.407851114297189343e-01
2.136213621362136106e+00,-3.889932453015860769e-01,3.880607844948502083e-01,6.726220657209305842e-02,4.833702438401691476e-02,-3.954847449601379128e-01,-5.847365668408993633e-01,4.751396951884455655e-01,-5.696151830081008782e-01,4.508887338290414049e-02,6.002488087561692540e-03,-4.911126617095912250e-02,-4.399751191243833626e-01
2.138213821382138224e+00,-3.880400439672753166e-01,3.869179850864703507e-01,6.735231918222332748e-02,4.834912119508005812e-02,-3.955837188688363648e-01,-5.856156987402689751e-01,4.778785002282170957e-01,-5.729626113900437856e-01,4.502186872155574532e-02,6.084382673654176003e-03,-4.978131278444307417e-02,-4.391561732634585158e-01
2.140214021402140343e+00,-3.870813566139655326e-01,3.857684805437584519e-01,6.744229745593695313e-02,4.836138219509685671e-02,-3.956840361417011120e-01,-5.864931887501020347e-01,4.806289419994861367e-01,-5.763242624438170703e-01,4.495412359570834238e-02,6.167182271912109368e-03,-5.045876404291708278e-02,-4.383281772808791943e-01
2.142214221422142018e+00,-3.861171612922797980e-01,3.846122440396980702e-01,6.753214003147169076e-02,4.837380904844339191e-02,-3.957857103963545731e-01,-5.873690202266376170e-01,4.833911465797476326e-01,-5.797002902641367195e-01,4.488562972309668303e-02,6.250897005104139384e-03,-5.114370276903368318e-02,-4.374910299489588872e-01
2.144214421442144136e+00,-3.851474356063450677e-01,3.834492482015556813e-01,6.762184551210341510e-02,4.838640346222697342e-02,-3.958887556000383889e-01,-5.882431760988028335e-01,4.861652439491515043e-01,-5.830908537156302973e-01,4.481637844005009058e-02,6.335537462161084168e-03,-5.183621559949960766e-02,-4.366446253783894393e-01
2.146214621462146255e+00,-3.841721567137940108e-01,3.822794651108822328e-01,6.771141246614600928e-02,4.839916718628615999e-02,-3.959931860696135897e-01,-5.891156388682119438e-01,4.889513679904990417e-01,-5.864961164328328369e-01,4.474636070149257128e-02,6.421114698175827383e-03,-5.253639298507477295e-02,-4.357888530182420506e-01
2.148214821482148373e+00,-3.831913013257638445e-01,3.811028663035120334e-01,6.780083942695143417e-02,4.841210201319076645e-02,-3.960990164715603723e-01,-5.899863906091670218e-01,4.917496564892452904e-01,-5.899162468201893939e-01,4.467556708094275186e-02,6.507640234403388492e-03,-5.324432919057300179e-02,-4.349235976559663874e-01
2.150215021502150048e+00,-3.822048457068968341e-01,3.799194227695634751e-01,6.789012489290972840e-02,4.842520977824183587e-02,-3.962062618219782117e-01,-5.908554129686570677e-01,4.945602511334978857e-01,-5.933514180520536030e-01,4.460398777051388652e-02,6.595126058260887200e-03,-5.396012229486162048e-02,-4.340487394173914160e-01
2.152215221522152167e+00,-3.812127656753394045e-01,3.787291049534377008e-01,6.797926732744906386e-02,4.843849235947167431e-02,-3.963149374865859720e-01,-5.917226871663597842e-01,4.973832975140194401e-01,-5.968018080726911201e-01,4.453161258091383606e-02,6.683584623327618914e-03,-5.468387419086215978e-02,-4.331641537667241248e-01
2.154215421542154285e+00,-3.802150366027435280e-01,3.775318827538205468e-01,6.806826515903559305e-02,4.845195167764382305e-02,-3.964250591807217394e-01,-5.925881939946393562e-01,5.002189451242239349e-01,-6.002675995962742928e-01,4.445843094144511648e-02,6.773028849344940247e-03,-5.541569058554933480e-02,-4.322697115065509132e-01
2.156215621562156404e+00,-3.792116334142657808e-01,3.763277255236811003e-01,6.815711678117358785e-02,4.846558969625307245e-02,-3.965366429693428785e-01,-5.934519138185480047e-01,5.030673473601791068e-01,-6.037489801068862683e-01,4.438443190000487121e-02,6.863472122216347088e-03,-5.615568099995175977e-02,-4.313652787778368136e-01
2.158215821582158078e+00,-3.782025305885677313e-01,3.751166020702724757e-01,6.824582055240535627e-02,4.847940842152544810e-02,-3.966497052670259760e-01,-5.943138265758249883e-01,5.059286615206052273e-01,-6.072461418585182180e-01,4.430960412308489194e-02,6.954928294007433828e-03,-5.690395876915155249e-02,-4.304507170599259358e-01
2.160216021602160197e+00,-3.771877021578153300e-01,3.738984806551305939e-01,6.833437479631135347e-02,4.849340990241824551e-02,-3.967642628379670078e-01,-5.951739117768981568e-01,5.088030488068777668e-01,-6.107592818750735564e-01,4.423393589577154228e-02,7.047411682945971430e-03,-5.766064104228504905e-02,-4.295258831705405789e-01
2.162216221622162315e+00,-3.761671217076797413e-01,3.726733289940760696e-01,6.842277780151004296e-02,4.850759623061998149e-02,-3.968803327959812277e-01,-5.960321485048818424e-01,5.116906743230232868e-01,-6.142886019503625006e-01,4.415741512174587574e-02,7.140937073421792063e-03,-5.842584878254175607e-02,-4.285906292657823968e-01
2.164216421642164434e+00,-3.751407623773370115e-01,3.714411142572127122e-01,6.851102782165796601e-02,4.852196954055042893e-02,-3.969979326045030565e-01,-5.968885154155784134e-01,5.145917070757223266e-01,-6.178343086481057345e-01,4.408002932328353857e-02,7.235519715986864567e-03,-5.919970676716508617e-02,-4.276448028401316215e-01
2.166216621662166109e+00,-3.741085968594680122e-01,3.702018030689284145e-01,6.859912307544972776e-02,4.853653200936060980e-02,-3.971170800765863040e-01,-5.977429907374774976e-01,5.175063199743078490e-01,-6.213966133019325211e-01,4.400176564125485301e-02,7.331175327355258890e-03,-5.998234358745194172e-02,-4.266882467264477286e-01
2.168216821682168227e+00,-3.730705974002579972e-01,3.689553615078939863e-01,6.868706174661805275e-02,4.855128585693277432e-02,-3.972377933749040579e-01,-5.985955522717568700e-01,5.204346898307679048e-01,-6.249757320153837004e-01,4.392261083512469938e-02,7.427920090403223284e-03,-6.077389164875347805e-02,-4.257207990959680499e-01
2.170217021702170346e+00,-3.720267357993976010e-01,3.677017551070645984e-01,6.877484198393370163e-02,4.856623334588044960e-02,-3.973600910117486840e-01,-5.994461773922812320e-01,5.233769973597418579e-01,-6.285718856619073591e-01,4.384255128295265480e-02,7.525770654169063739e-03,-6.157448717047397935e-02,-4.247422934583096610e-01
2.172217221722172020e+00,-3.709769834100823394e-01,3.664409488536793380e-01,6.886246190120548505e-02,4.858137678154837019e-02,-3.974839918490316593e-01,-6.002948430456027662e-01,5.263334271785221619e-01,-6.321852998848611627e-01,4.376157298139290303e-02,7.624744133853202099e-03,-6.238427018607148322e-02,-4.237525586614682704e-01
