# time, position, velocity
8.634538152610442552e+00,-7.036749469050638250e-01,-7.105220398398319759e-01
8.674698795180722399e+00,-7.316349042473716535e-01,-6.816966824673120762e-01
8.714859437751004023e+00,-7.584149829214409388e-01,-6.517719798213715832e-01
8.755020080321285647e+00,-7.839719957537527595e-01,-6.207961902862145775e-01
8.795180722891565495e+00,-8.082647279606895996e-01,-5.888192672922927251e-01
8.835341365461847118e+00,-8.312540036139897115e-01,-5.558927787583799462e-01
8.875502008032128742e+00,-8.529027488182101546e-01,-5.220698239300383126e-01
8.915662650602410366e+00,-8.731760514983359922e-01,-4.874049477485588588e-01
8.955823293172690214e+00,-8.920412177011006749e-01,-4.519540528884961050e-01
8.995983935742971838e+00,-9.094678243192344524e-01,-4.157743096056297771e-01
9.036144578313253461e+00,-9.254277681536010602e-01,-3.789240635407638558e-01
9.076305220883533309e+00,-9.398953112341177363e-01,-3.414627416280156535e-01
9.116465863453814933e+00,-9.528471223263634826e-01,-3.034507562593444230e-01
9.156626506024096557e+00,-9.642623145569338972e-01,-2.649494078598866875e-01
9.196787148594378181e+00,-9.741224790968782132e-01,-2.260207860311791717e-01
9.236947791164658028e+00,-9.824117148488884510e-01,-1.867276694217175348e-01
9.277108433734939652e+00,-9.891166540903718607e-01,-1.471334244863065632e-01
9.317269076305221276e+00,-9.942264840310455210e-01,-1.073019032974956571e-01
9.357429718875501123e+00,-9.977329642502975604e-01,-6.729734057386185797e-02
9.397590361445782747e+00,-9.996304399861872803e-01,-2.718425009121505989e-02
9.437751004016064371e+00,-9.999158512546548749e-01,1.297267935620572549e-02
9.477911646586345995e+00,-9.985887377842380674e-01,5.310868827679893212e-02
9.518072289156625843e+00,-9.956512397583331397e-01,9.315905091666726312e-02
9.558232931726907466e+00,-9.911080943638053142e-01,1.330591796402876836e-01
9.598393574297189090e+00,-9.849666281515158106e-01,1.727447290884256692e-01
9.638554216867468938e+00,-9.772367452210828365e-01,2.121516999453560148e-01
9.678714859437750562e+00,-9.679309112489308253e-01,2.512165421480328509e-01
9.718875502008032186e+00,-9.570641333853889821e-01,2.898762573707518997e-01
9.759036144578313809e+00,-9.446539360532523188e-01,3.280685006200653175e-01
9.799196787148593657e+00,-9.307203326868395132e-01,3.657316807760830346e-01
9.839357429718875281e+00,-9.152857934571161369e-01,4.028050599180418856e-01
9.879518072289156905e+00,-8.983752090349427233e-01,4.392288512739378481e-01
9.919678714859438529e+00,-8.800158504508719393e-01,4.749443156362950225e-01
9.959839357429718376e+00,-8.602373251162380718e-01,5.098938560885585281e-01
1.000000000000000000e+01,-8.390715290764524381e-01,5.440211108893697745e-01
